iter	Logloss
0	0.6890365601
1	0.6852539063
2	0.6821709442
3	0.6791064453
4	0.6766853333
5	0.6740884399
6	0.6716091156
7	0.6689942169
8	0.666769104
9	0.6643994141
10	0.6618940735
11	0.6595624542
12	0.6574867249
13	0.6555174255
14	0.6529497528
15	0.6504766846
16	0.6484169006
17	0.6467433167
18	0.6448537445
19	0.6425971985
20	0.6406976318
21	0.6388577271
22	0.6370607376
23	0.6356206131
24	0.6339379501
25	0.632570076
26	0.6306139755
27	0.629286499
28	0.6280741882
29	0.6266057587
30	0.6253846741
31	0.6245915222
32	0.623381958
33	0.6224847031
34	0.6208594513
35	0.6194749069
36	0.6182125092
37	0.6167237473
38	0.6152640533
39	0.6136132813
40	0.6122339249
41	0.6115488815
42	0.6104627228
43	0.6087020874
44	0.6079288483
45	0.6066813278
46	0.6061903381
47	0.6052339554
48	0.6042406082
49	0.6030079269
50	0.6016574097
51	0.6005917358
52	0.5994585419
53	0.5986320877
54	0.5976490021
55	0.5967560577
56	0.5961907959
57	0.5951276398
58	0.5946713257
59	0.593808136
60	0.5927990723
61	0.5918771744
62	0.5907256317
63	0.5901115417
64	0.5892723846
65	0.5881079865
66	0.5874245453
67	0.5865480042
68	0.5855944824
69	0.5848822784
70	0.5841513824
71	0.5834033203
72	0.582595787
73	0.5816717529
74	0.5807327652
75	0.5800419617
76	0.579695549
77	0.5790460205
78	0.5783911896
79	0.5779443359
80	0.5774042892
81	0.5767435455
82	0.5755459595
83	0.5749180222
84	0.5740393448
85	0.5729606628
86	0.5723051834
87	0.5715844345
88	0.5709973526
89	0.5703265762
90	0.5694802475
91	0.568620491
92	0.5677065659
93	0.5669865417
94	0.5667019653
95	0.5659721375
96	0.5657884216
97	0.5651153183
98	0.5644033051
99	0.5638942719
100	0.5634669876
101	0.5631261826
102	0.56239048
103	0.5619430542
104	0.5614867401
105	0.5609292603
106	0.5605449295
107	0.5601618958
108	0.5596752167
109	0.5588690186
110	0.5584007263
111	0.5580195618
112	0.5576261902
113	0.5571076202
114	0.55638237
115	0.5561685944
116	0.5558112335
117	0.5554330063
118	0.5550402832
119	0.5547924042
120	0.5537625504
121	0.5529055023
122	0.5522962189
123	0.5520623016
124	0.5513095856
125	0.5506988144
126	0.5501607132
127	0.5495788574
128	0.5491946793
129	0.5488038635
130	0.5481531143
131	0.547881279
132	0.5474455261
133	0.5468027115
134	0.5461103821
135	0.5456403351
136	0.5452939606
137	0.5444256973
138	0.5439112091
139	0.5431202698
140	0.5424577332
141	0.5421008682
142	0.5418210602
143	0.5413385391
144	0.5407072067
145	0.540100708
146	0.5396972275
147	0.5393497849
148	0.5390145111
149	0.5387255859
